id,text,archetype,category_role,category_group,datetime,discovered_topic
1769517929.885289,"Reminder: @S095YD2KQ4S sube el [universo](https://portalempresas.bancochile.cl/mibancochile-web/front/empresa/index.html#/portal/recaudacion-pac/universo) a [upload_contracts](http://admin.prd.fin/contracts/upload_contracts_snapshot_form), después la [rendición](https://portalempresas.bancochile.cl/mibancochile-web/front/empresa/index.html#/portal/recaudacion-pac/nominasProcesadas) a [charge_batches](http://admin.prd.fin/charge_batches) y descarga los paysheets del [payout batch](http://admin.prd.fin/payout_batches?q%5Bproduct_id_eq%5D=8&amp;commit=Filtrar&amp;subdomain=admin&amp;order=id_desc) en :banco-chile: ([paso a paso](https://www.notion.so/fintoc/Actualizaci-n-de-Universo-de-Contratos-9bd924a99fd24fb08cb4d1cd7abe3d30?source=copy_link))",Reminder (Automático),bot,Bots,2026-01-27 12:45:29.885,10
1769517716.422179,"@raimundo.sandoval recuerda lo de los docs pls <#C05ADHG3WAF>
hay unos del viernes y otros de ayer que siguen failed
los docs deberían quedar siempre succeeded",Sin Clasificar,unknown,Otros,2026-01-27 12:41:56.422,14
1769517028.077339,Reminder: @S095YD2KQ4S hacer proceso de [nómina Unired](https://www.notion.so/fintoc/Subir-n-mina-Unired-30a1189fbcb34c2b9d988d3c5347e998),Reminder (Automático),bot,Bots,2026-01-27 12:30:28.077,9
1769517023.755539,Reminder: @S095YD2KQ4S Revisar [acá](http://admin.prd.fin/batch_paysheets?subdomain=admin&amp;order=id_desc&amp;q%5Bstatus_eq%5D=7&amp;q%5Bcreated_at_gteq%5D=2025-07-01&amp;commit=Filtrar) si hay paysheets pegadas en estado `stuck`. En [este](https://www.notion.so/fintoc/Flujo-para-destrabar-Paysheets-2450ff41a1e98090b777ee3efb4469d2?source=copy_link) manual se explica cómo procesar esas nóminas.,Reminder (Automático),bot,Bots,2026-01-27 12:30:23.755,0
1769517018.395389,Reminder: @S08KGHVFHUN Hacer cierre contable de cuentas recaudadoras. [Acá](https://www.notion.so/fintoc/Cierres-contables-v-a-Ledger-2880ff41a1e98032876af54dac9a307f?source=copy_link) la guía.,Reminder (Automático),bot,Bots,2026-01-27 12:30:18.395,0
1769517004.423239,Reminder: @S095YD2KQ4S hacer proceso de [refresh de cuentas BICE](https://www.notion.so/fintoc/Refresh-cuentas-BICE-1e40ff41a1e9809c9323cbb614036b37),Reminder (Automático),bot,Bots,2026-01-27 12:30:04.423,8
1769469019.747799,"@S095YD2KQ4S me ayudas encontrando el comprobante de un [payback](http://admin.prd.fin/paybacks/3997) de julio/2024, un usuario cree que nunca se le regresó el dinero y es bastante. Yo entré al portal del banco y no hay caso que pueda dar con el comprobante, tampoco está en el correo :tiredpepe:",Sin Clasificar,unknown,Otros,2026-01-26 23:10:19.747,0
1769465671.575669,:pepe-alarm: Refund [ref_jEDpJ47Hpw75nr5V](http://admin.prd.fin/refunds/152554) has failed disbursal and needs retry,Reintentos Refund Disbursal,unknown,Otros,2026-01-26 22:14:31.575,12
1769465671.463069,:pepe-alarm: Refund [ref_Q7pvnxNHldkjRkYD](http://admin.prd.fin/refunds/152553) has failed disbursal and needs retry,Sin Clasificar,unknown,Otros,2026-01-26 22:14:31.463,12
1769465548.275699,:pepe-alarm: Refund [ref_130qJp5HEYEYRyKZ](http://admin.prd.fin/refunds/153023) has failed disbursal and needs retry,Sin Clasificar,unknown,Otros,2026-01-26 22:12:28.275,12
